笔画,吉凶,义象,总论,性格,意志,事业,家庭,婚姻,子女,社交,精神,财运,健康,老运
火土木,吉多于凶,虽得尊长（或上司）之爱护提拔，或祖先之馀德，而必可成功发展，但基础是（土在上而木在下）之相克而含有崩败运，故境遇多凶变，财帛易散，成败频见，身份也因之时贵、时贱。,中年靠努力而有所成就，但容易为亲友拖累或乱投资事业而遭失败，心情难免不安，身份时贱时贵，有变动之灵意，应注意因判断错误而遭失败的打击，一生变化较大。,为人表面温宏雅量，比较好面子又好出风头，虽诚恳待人，却容易得罪人面临卷入朋友的是非中，平白遭受损失。,意志不够坚定，易受人煽动。但尚能忍受艰苦，一生运程变化较大。,应从事较踏实的工作，不可好高骛远，容易发生错误投资，而带来失败或资金上的困扰。,家内不和睦，且为家庭劳苦受累，子女亦不敬。,男娶好胜好强之妻，婚后不甚美满，女嫁精明才干之夫，婚后意见不和。,子女虽聪明，但有反抗心理，长大后尚能在社会上成功发展。,口才表达能力较差，表达的意思易被误解，社交上不太圆满。容易卷入朋友是非中。,表面乐观，内心劳苦，精神不安定。,财运不佳，应多节俭，减少意外拖累或不慎的投资，以免造成赤字。,易患胃肠病、肾虚、妇人病等。,晚景虽保安静，然不得意，精神多操劳。
火土火,吉,能安定，可逃灾害，部下得力合作，能成功，由尊长之爱护提拔或父祖馀德所荫益，得隆昌而大发展。,运限良好可由上下之助而成功发展，但做事较为保守，冲劲不足，因此收入是有限度的，如能培养做事魄力及创业精神，才能得到更多的良机，一生辛勤平凡，发展有限。,性情温和，宽宏大量，比较注重精神方面的修养，为人慷慨而不浪费，很有家庭责任的人，有因为助人而受拖累之灵意。,意志坚定，不重虚名，保守行事，耐性亦佳，凡事三思而后行，不易冲动。,喜欢从事比较安定无忧的工作或事业，不适合投机性的事业，因此发展有限。,一家老幼都能各睦相处，共享天伦之乐，但物质生活不富裕。,男娶贤淑之妻，婚后持家有方，个性较强，女嫁温厚才干之夫，婚后感情和睦。,子女都健康活泼，幼年时期较顽皮，长大后能在社会上成功发展。,虽有很好的人缘，但不善于口才，社交发展有限。,外表乐观，内心苦闷，但精神生活尚称如意。天运五行属火，一生较为愉快。,财运平凡，有受拖累损失之兆，应多注意不为人作保。,大致健康，唯易患高血压及胃肠之症。,虽无很大的发展，晚景大致安乐无忧。
火土土,吉,有父祖余德所荫益，或由长辈爱护栽培，易向上发展，境遇安泰，虽无惊人成就，但可平顺而逐渐伸展，欣庆幸福长寿之兆。,有良好的发展运势，得到意外之助而成功发展，身心健康，家庭幸福，但发展有限，财运不稳之兆。,为人谦和有礼，遵守公共道德及信用，做事稳重且踏实，对待部属宽厚大方，受到尊敬与欢迎，是一位很好的领导人才。,意志尚称坚定，但耐力不够，处事有喜新厌旧之象，大都有无法坚持到底。,任何事业对您都适合，碰到任何困难都有贵人相助，让您一展抱负。,一家老幼和乐融洽，子女又孝顺，夫妻亦能和睦相处。,男娶贤淑之妻，婚后感情美满，女嫁谦恭才干之夫，婚后家庭幸福。,子女都谦恭有礼且有责任感，长大后事业成功并能孝顺父母。,人缘很好，性情明朗愉快不拘小节，受到人家的欢迎及异性的接近。适合领导及管理之工作。,生活很愉快，内外圆满，诸事一帆顺。,所做之事都有成功之象，财源可得，天运五行属水，劳多利少。,身心健全，少灾。注意血压即可。,晚景尚称如意，可享清福。
火土金,吉,得部下拥载，及长辈引进，而得成功发展（五行顺相生，从上生下，配置良好），易得财利、名誉、事业隆昌，长寿少病之兆。,虽有成功发展的配置，但不知何故，总是无法如愿，财运难得，纵有也难保，做事有眼高手低之感，消极又无力之倾向，天运五行属火时，中年前后可成功一时。,为人虽诚实守信，但意志消极，缺乏果断力，做事较固执，容易遭受挫折，不是创业的人才，中年后有色情之灾。,意志坚定，虽得不到天时地利但得人和，耐性不佳，做事有虎头蛇尾之现象。,如有小成功应该满足，计划之事都在五里雾中，创业难成功，应避免精神及财务损失。,起初有圆满之象，中年后恐有婚姻危机，子女反感之灵意。,男娶勤俭之妻，中年后恐有夫妻反目之嫌，女嫁温厚才干之夫，婚后大致圆满。,子女较顽固，比较容易和父母顶嘴，长大后在社会上仍有所成就。,外表老实，做事沉著不积极，是标准的好好先生，当心受骗而损财。,表面好像无忧无虑，其实内心郁闷不安，精神总有不安之感。,财运不佳，虽节俭也未必能解决因难，应尽量避免其他损失，或受牵累。,大致健康，防泌尿系统之病。,事事不能如意，劳碌不安，应注重精神修养。
火土水,吉多于凶,虽有长辈的爱护提拔，或父祖之余德荫益，而可成功于中年或壮年，但基础运劣，须防青年或晚年期之急变没落或遭受病苦、破财、失败或因色情事被杀等之不安定，凶运频来之兆。,一生劳碌难得安宁，纵有一时成功也难免失败，事业命运多变化，容易受人欺骗或拖累而散财之灵意。天运五行属金时，中年可发展，晚年有意外失败，又有灾厄是非。,做事不重实际，有投机或发横财之心理，言辞动听，让人容易信任，如能真心待人处事，才有成就之日，一生只能靠孤军奋斗，成功有限，也有成败一瞬间之灵意。,意志不够坚定，思想、事业多变化但有耐心，能够忍受失败的打击。,如从事较稳定的生意，可得平安，若好高骛远从事投机或不正派之事业，会陷入失败的命运。,夫妻感情不睦，家内多遇风波，子女反感，太太与长上不和之兆。,男娶固执不明理之妻，婚后不能美满，女嫁有才干之夫，婚后有不平不满之感。,子女个性较固执，身体壮况亦稍差，长大恐难依靠。,人缘虽不错，但社交不得要领，意志不够坚定，虽知有错也难改过来，有愈陷愈深之虑。,对外虽乐观，内心实空虚，应注重精神修养为要。,财运不佳，只有克勤克俭忍耐行事，才能永保无忧，否则只有徒增痛苦。,易患消化器、肾脏病等，女性月经不顺，有子宫病等。,晚景孤独不安，劳劳碌碌终无所得，郁闷不乐。
火金木,凶,命运完全被抑压，基础运亦劣，常常劳而无功，极困难伸展其成就，若不谨慎，则致颠复，易招失意及失配偶，或遭遇残废之祸患，甚至发狂杀人或变死，乃短寿又凶死之兆矣。,不但工作及事业上无法顺利成功，且内外不和，心情苦闷，生活不能安定，易招失意，失败、家庭失和等情事，应谨慎为人处事，若天运五行属土，一生尚能小成功。,虽有坚忍的个性，不怕失败或打击，性急而口齿灵利，容易得罪人而引起反感，应注意成长时期流于问题少年，卷入朋友是非或法律纠纷，人生的考验较多。,意志不够坚定，思想变化万千，但尚能忍受艰苦与突来的打击，痛苦度一生。,所谋所做之事表面平稳，其实内面隐藏著随时发生的祸害，应选择人事问题单纯的小本生意。,家内难和睦，应多忍让免造成婚姻危机，子女亦容易反感，早为独立打算。,男娶懦弱固执之妻，婚后感情难和睦，女嫁好胜好强之夫，婚后常有争吵。,女孩多于男孩，聪明但有反叛性质。,个性顽强固执，争勇好斗，有钱时喜欢装大方，朋友之间无长久之情感。,事事不能如意，精神难得安宁，心情常在苦闷不安中。,财运不佳，应多节俭，注重精神修养，求得稳定收入即可保持平衡。,易患头痛、神经衰弱、呼吸系统、外伤、杀伤等。,晚景孤独，劳碌不息，晚境难安宁。
火金火,凶,命运完全被压制而不能伸展，基础不稳，伤脑伤肺，绝对的不安定，亦不能成功，晚年更凶，易遭火灾，甚至发狂或遭遇残废，变死之厄难，必定短寿凶死之兆矣。平生：贪色、好胜、争斗杀伐而惹祸，致陷遭牢狱者也不少。,早年费尽心力而无所成，遭受很多意外的灾害与打击，幸能逃过灾难，中年后事业有成，名利可得，切勿好高骛远企图从事超过自己能力、财力的事业而劳命伤财。,性格独立而早熟，在创业过程中碰到任何挫折都能忍受，主观意识较重，大都不甘屈于人下，应注意成长期勿流于问题少年之途，而影响前程。,意志不够坚定，常有与身份不相应之企图，但耐性尚佳思想高远，可得一时的成功。,早年辛勤劳苦而收获少，有志难伸之象，六亲又无助，靠孤军奋斗，中年后有成功机会。,六亲缘薄，夫妻欠圆满，子女难靠，家庭有不安之兆。,男女皆得好胜顽固之配偶，婚后常有争执，应多忍让，免造成婚姻危机。,子女皆聪明活泼，稍嫌过于顽皮，常给父母惹麻烦，长大后独立心重。,外缘及人际关系尚可，天性喜助他人，但内心孤高苦闷，容易被卷入朋友的是非中，而遭受损失。,对外乐观，内心空虚，心情欠开朗，为家庭及事业劳苦不安。,早年困苦，中年财利可得，但有因判断错误而失败之灵意，应谨慎注意。,易患脑症，呼吸系统、神经衰弱、筋骨酸痛、精神分裂、外伤等。,晚景物质不缺，但精神仍不安宁，缺乏天伦之乐。
火金土,凶,境遇虽安定，受一时之福荫而获得安定之生活，但成功运因被压制，不能有所伸张，常有烦恼与困难，身心过劳，易生脑疾、肺疾或遭难之虑，晚年不佳之兆。,做事欠考虑，所做所为不检讨，有聪明反被聪明误之情事，如有一时成功感到满足切莫企图从事超过自己能力、财力的工作，以免失败后悔莫及，天运五行属土，一生成功机会较多。,个性比较主观又好胜好强，不服输的心理很强，不容许别人做错，总以为自己能力很高，对父母难有孝心，但表现却相反，应多检讨行为，注重精神修养，才有成功之希望。,意志尚称坚定，却有一意孤行之倾向，但耐性不佳，处事容易冲动，喜欢横发或投机行业。,应从事人事关系较单纯的工作或事业，不可理想太高而好高骛远，否则会让您失望的。,家内不安，有为妻子之事而闹到父母、兄弟不和之灵意，女性有婚姻危机。,男娶贤淑但任性之妻，婚后多是非，女嫁好胜好强之夫，婚后难圆满，常有争吵之象。,子女谦恭有责任感，长大可成功立业，也能孝顺父母。,为人忠厚老实，做人处事很守原则，做事不够积极，缺乏果断力，容易受人拖累。,表面似乎平安无事，但凡事少成，内心却有苦说不出。,财运不佳，有小财利时应该满足，守则安，动则凶。,易患脑溢血、心脏病、胃肠病等。,一生操劳但功少，晚景力不从心，精神欠开朗。
火金金,凶,过分坚决鲁顽刚强，以致遭受批难、不和，陷于孤独，易生不平、不和，不满、怨叹等。成功运被抑压，且易变为遭难以及失子、孤独、不遇等。容易因不测之突变而短寿丧生之兆。,虽有坚韧的个性，但受到无限命运的折磨，不必怨恨命运的安排，也只有将希望寄于未来，并注重精神修养，充实人生，注意意外灾厄，慎防为他人而卷入是非纷争中。,在社会上为人处事，这种个性是不适合的，否则您就是吃再大的亏，也只有诉之神明，动怒也无法解决事情，您的优点只有勤俭而默默耕耘。,意志尚称坚定，有相当忍耐性，处事容易变化，受到外来的因素，而身不由已。,一心一意想闯一番事业，无奈命运多受挫折，凶多吉少，如果注重精神修养会好过些。,为家庭劳累，难得安宁，夫妻又多争执，子女亦难靠。,男娶好胜好强之妻，婚后不圆满，女嫁主观固执之夫，婚后意见不和。,子女运不佳，个性顽固，长大恐难依靠，早为独立生活打算。,为人固执，只顾自己的工作或理想，不能与人融洽，终致内外不和，社交不广。,非常苦闷，有苦难言，应多找寻精神寄托，培养乐观人生。,财运不佳，奉劝您从事薪水生活，或资金较少的小买卖，免为财务困难而伤神。,易患头痛、脑疾、呼系统等症。,老境稍可安静，但财运仍不佳，应安贫乐道行善，寻示心灵上的寄托。
火金水,凶,非但不能成功，且有急变没落之兆，陷于怀才不遇，破乱凶祸极多，平生意志不能有所伸张，成功运也完全被压制，容易因被人连累而遭难，突生不测凶变而丧生，死于少人知之处。,如逆水行舟费尽心力一事难成，虽然一心想过平静的生活，努力又有耐心，最后还是无法挽回自己命运的安排，自苦自愁，有受亲友拖累的现象，慎防意外之灾厄。,常有不平不满，诉诸于人，也无补于事，难有聪明的头脑，也无法抗拒命运的安排，待人处事好坏应辨别清楚，以免受累难堪，应持盈保泰，方为上策。,意志坚定，注重实际与工作，耐性亦佳，能忍受艰苦，不断奋斗，但劳多而功少。,不要嫌钱少，如有固定收入应该满足，不可好高骛远，并注意金钱来往，以免受累失败。,父母无靠，夫妻欠和，家庭不温暖，应多忍让，注重精神生活为要。,男娶能干之妻，婚后家内不太美满，女嫁卤莽顽刚之夫，婚后难和睦，感情不稳定。,子女个性较孤独，身体状况较差。,做人做事不马虎，认真行事能受人信任，个性较敏感且多疑为其缺点，社交能力佳。,表面乐观，内心不安，精神多劳，为家庭事业而烦闷难安。,一生操劳，财运仍不佳，应注重精神修养，免得劳民伤财。,易得肺部、头部、脑溢血、外伤、意外灾难等。,晚景孤独，身体不安，应安贫乐道，寻求精神上的寄托。
火水木,凶,虽有一时的成功，但因成功运被压制，而不能有所伸张，且大多易生困苦、乱杂、穷困，且有招致急祸或遭难之虑，含有急变不祥之兆。,配置虽不好，但凭才华及理智，不断的求上进，不必怕失败，最后必能成功，只怕中途心灰意冷或遭不测之灾，如能早做预防及意志更坚定，一定有很好的发展。,难有天赋才华，但计划往往会超前而脱离现实，因此生活常在不安定中(人格39数者较好些)，且个性较任性，主观意识也强烈，只顾追求理想，不注重物质享受。,意志坚定，为自己理想而不断的奋斗，主观意识也强烈，只顾追求理想，不注重物质享受。,在操劳中创业，虽然碰到许多挫折，只要您坚忍不拔，一定可创造一番很好的事业，,与父母意见不和，夫妻感情大致圆满，女性者夫妻多争执。,男娶贤慧之妻，婚后还算和睦，合力创业，女嫁懦弱寡和之夫，婚后喜掌权，且多争执。,子女个性活泼可爱，不要太过溺爱，以免宠坏了他们。,人缘不错，但过于任性，容易引起别人误会，若待人圆滑点，兄弟朋友会更和睦。,事事不太如意，精神多苦闷，中年后转入佳境。,财运很好，但是在接受种种困难及考验之后才能得到。,易患头痛、脑疾、胃肠、精神过劳等症，应注意意外之灾祸。,晚景有财运，但精神不安，且有病灾之虞。
火水火,凶,三才皆破，乱杂困穷，容易在室外或途中而遭难，有急祸，无形之心病甚重，容易为感情或爱情事而遭难，大灾、大祸频袭，如风中残烛，随时可灭之兆，绝对的不安全，不但身体越虚弱，且会发生不测之突变，而丧生或发狂或自杀，乃短寿之兆。,这种命运的安排，对您是苛刻无情的，所谋所做之事都在五里雾中，很难克服，如有小财利，应速安排人事关系较单纯的行业，平凡度过一生。慎防意外灾厄。,凡事粗心大意又任性，很难接受他人的意见，善于舌​​战及辩论，绝不认输，喜出风头，容易遭到反感，与人冲突或者有法律纠纷，宜多忍让，得人和可免惹火烧身。,意志不够坚定，思想往往脱离现实，但耐性尚佳，可以忍受失败的打击，小成功有望。,要冲破这么多难关而立业，实在不容易，只怕中途精神过劳失去信心而失败，宜守求安。,孤独不安难和睦，夫妻难白头偕老，子女亦难依靠，慎防为酒色而引起婚姻危机。,男娶懦弱固执之妻，婚后常有争吵，女嫁无主见之夫，婚后不圆满，婚后不安份。,子女较固执，独立心很强，早为独立生活打算。,外表还算人缘好，因重面子又好强，容易得罪人，慎防纠纷冲突之情事发生。,事事难如愿，精神苦闷不安，缺乏天伦之乐，,纵有财运也难持久，应节制开支未雨绸缪，免受贫困之苦，天运五行属土时，中年后财利可得。,易患脑溢血、头痛、泌尿系统、心脏病等。慎防意外灾厄、急病。,晚景孤独凄凉，精神操劳，应多注重精神修养，物质生活可免忧。
火水土,凶,三才皆破，即使表面安定，亦内藏不安，乱杂困苦烦闷，基础运崩败而成功运又被抑压，不能伸张，不但招致境遇没落，又有病弱短命及遭难变死之兆，为短寿之凶数配置。,中年以前必须经过许多困难，内心非常烦闷困苦，亲友无助，靠孤军奋斗、冲破万难才能成功，但中途精神过劳，急灾没落者也甚多，应慎加防范。天运属金者中年后可成功发展。,为人处事较任性，缺乏服从心，精神生活常在不安定中，心情苦闷却满腹理想，惟恐脱离现实劳而无功。应著重实际多接受他人意见方为上策。,意志不坚定，思想变化较大，耐性亦不佳，处事冲动，有时欠考虑，小不忍则乱大谋。,中年以后才能发展，中年前应多充实自己，修身养性，不可自找苦吃。,夫妻不和，子女无靠，老运转佳，应多忍让免造成婚姻危机。,男娶好胜好强之妻，婚后常争吵，女嫁懦弱寡和之夫，婚后不美满。,子女虽聪明可爱，但独立心很强，有早年离家奋斗之灵意。,人缘还算不错，但社交不太圆满，情绪变化无常，有投机及好高鹜远之企图。,事事难以如愿，心情常苦闷不安。,财源不稳，时有时无，老运才能转佳，赚钱常是误打误撞而得到。,易患头疼、脑病、胃肠及泌尿系统疾病，甚防急灾急症。,为名为利终日劳苦，老境会有财星照，但缺乏天伦之乐。
火水金,凶,能有一时之成功，但成功运被压制而不能伸张，时常不平、不满、乱杂苦闷烦恼，灾祸繁多，难以平安，须提防处事，否则会有突然之急祸凶变。,这种配置有许多困难等着您，如能以百折不挠的精神去克服它，仍可成功立业，只怕中途受困难而退缩或遇意外灾厄，而造成英雄无用武之地，感叹良多。,为人任性缺乏服从心，喜爱表现自己才能，凭自己的理想而奋斗，平时守信慎行，有成人之美德，主观太强，应多改进，中年后可成功发展。,意志尚称坚定，不被世俗迷惑，但耐性不佳，处事容易冲动，有时欠考虑。,创业过程很艰苦，是白手起家类型，凡事不可操之过急，应脚踏实地，步步守身，以防万一。,夫妻大致圆满但有不安之兆，父母缘薄，女性则夫妻多争吵，对丈夫喜用支配口吻。,男娶贤惠之妻，婚后能共同持家，女嫁懦弱寡和之夫，婚后不和睦。,子女个性较顽强，容易和父母顶嘴，长大后成就还不错。,做事坦白，快人快语，个性明朗，善于外交，人缘还不错，适合外交工作。,表面乐观，内心多苦闷，精神常不安，应秉持盈保泰之法则，可减少悲伤。,劳碌中得财，晚境更佳，天运五行属水者，财运才能守住。,易患头疼、脑疾、神经衰弱等，慎防急厄之灾。,晚境较安定，内心仍苦闷，财源可免忧。
火水水,凶,有一时之投机成功，但绝对不能伸张，终归乱杂困苦、孤独、有病难、凶变、急祸，危命之虑。,虽有创业及计划的能力，可能会成功一时，但因配置不佳容易发生意外失败，凡事不可自作聪明好胜好强，应脚踏实地，注重精神修养及人际和平，免受害受累，防意外灾厄。,"您有天赋的才华，因此自尊心太高，有好胜好强的个性，凡事不认输，有做大事业的魄力，但运气未来之前，就是再大的能耐，也只有徒增痛苦与打击，,应识时务为要。",意志尚称坚定，且能忍受失败的打击，只顾追求理想，常叹命运不公平。,中年前兢兢业业很难稳定，应多注重精神修养及充实自己，中年后才能成功立业。,六亲难靠，家庭不和睦，子女也多计较，女命有婚姻危机。男命若为长子，父母恐缺其一。,男娶顽固寡和之妻，婚后多争吵，女嫁懦弱寡和之夫，婚后难圆满。,女孩多于男孩，性格比较孤独，身体状况亦稍差。,好胜好强，快人快语，容易得罪人，遭到别人反感与打击。,外表若无其事，其实内心苦闷不安，将精神寄托于事业未来的发展，可增进信心。,财运不稳定，时富时贫，天运五行属木时，中、晚年财源广进。,易患头痛、脑疾、风湿、关节炎、妇人病等。防意外急症。,一生劳碌，晚景转佳境，但精神仍不安，物质生活丰裕。
土木木,平,基础安泰，得贵人助力，而在困难之中得平安发展，但成功运之配置不良，难于伸张，故然只是外强中干而已，虽苦闷烦恼殊多，但大体可得平安，衣食充足，幸福有寿，人地两格，无凶数，则身体健康，疾病少有，有病吃药即可速愈。,有很好的计划性及忍耐性，不屈不挠的精神想达到目的，但因固执且自疑心较重，影响发展，有迟迟达到理想之灵意。凡事不必操之过急，以缓进式方可成事，天运属火时，中年后可一展抱负，名利可得。,努力中带固执，是外柔内刚的个性，一向好面子不认输且自律甚严，缺乏服从心，容易陷入一意孤行，创业过程碰到困难很多。,意志坚定，注重实际与工作，耐性亦佳，能忍受艰苦，可自创一番事业。,这是一种发展较迟的配置，所以不必操之过急，应选定较稳定性的行业，不宜投机取巧。,父母缘薄，如为长子恐早缺其一，是早年劳苦之命，靠自力奋斗而成功的类型。,男娶克勤克俭之妻，婚后大致圆满，女嫁懦弱寡和之夫，婚后喜掌理家中一切事务。,女孩多于男孩，都有相当责任感，长大后发展性很高。,比较严肃感，不愿与人妥协，自疑及多疑心较重，虽受尊重，但社交不太圆满。,表面若无其事，内心不安又苦闷。,苦闷中得财，没意外财利，应早做储蓄，老景自无忧。,易患胃肠、肝脏、神经痛、偏头痛等。,一生操劳、克服人生难关，晚景稍佳，但精神仍不安。
土木火,平,勤勉做事，无厄安泰，终获成功之吉兆无疑，虽然成功较迟些，但平安发展，改善境遇，家门兴隆，但过程中亦有不少困苦烦恼。如果人、地两格无凶数，则无病，若有病吃药可速愈。,以您勤勉努力的精神，兢兢业业，定能得到好结果，您仁慈的心胸时会受到亲友的拖累，增加心情的烦闷，应谨慎预防，中年前很难发展，若天运五行属土，中年后名利可得。,个性较保守，谦虚忧闷不虚假，有时牺牲自我帮助别人，反而惹一些是非，少管闲事为妙，免得吃力又不讨好，不但有创业天才，也都注重实际与工作。,意志坚定，不断在追求自己的理想，耐性亦佳，思想正确，可一展抱负。,适合稳定的行业或薪水阶级，不宜太大规模的事业或人际关系太复杂的行业。,性情稍有固执，家内尚能和谐，子女也能孝顺，女命者夫妻多争执，,男娶贤淑之妻，婚后尚称圆满，但须多忍让，女嫁懦弱寡和之夫，婚后喜掌理家中的事务。,子女个个活泼又顽皮，长大后很有成就，也能孝顺父母。,为人谦恭有礼，诚恳待人，只顾工作而不善于交际，但给人印像还不错。,虽有不平不满也不露于表情，内心常有苦闷，心情常有不安之感。,平日勤俭持家，如不为人作保拖累，定有积蓄可得，最高可达中富。,易患神经衰弱、胃肠病或开刀等。,一生劳碌，收获不多，心情郁闷不乐。晚景运势比中年衰退。
土木土,凶,基础坚固安定，但有怀才不遇之叹，若转换角度而活用智慧，可得一时之成功，但因成功运配置不良，故亦难伸展，有成功较迟及希望迟达之兆，交通上提防土、石、器械殒落之伤。,您虽努力向上想创一番事业，但因主观力太强往往我行我素，以致事倍功半，如能多观察参考他人意见，才是成功的捷径，凡事不可操之过急，否则您会碰到许多困难。,任何事情主见太强，对自己满怀信心，容易陷入一意孤行，生活方面较严肃，不注重物质生活，重视实际工作，慎防精神过劳，一生自力奋发，有亲友难助之象。,意志不够坚定，计划欠周详，耐性亦不佳，处事容易冲动，有时欠考虑。,有眼高手低之感慨，理想太高不易达成，就按部就班不要好高骛远，从事技艺方面最佳。,大致圆满，子女早做独立打算，女命者夫妻不和睦，常有争吵现象。,男娶平凡无决断之妻，婚后尚称圆满，女嫁固执寡和之夫，婚后感情难和谐。,虽有责任感，但宜早做好独立打算。,人缘虽好，但不善于交际，社交发展有限，帮助者少浪费者多。,事事虽达心愿，心情常在不安定中，且为家庭劳碌不息。,有小财运，但不可无力强拖，以免造成赤字。天运五行属水时，一生发展较稳健。,易患神经衰弱、头痛、泌尿系统、胃肠等疾病。,晚景较佳，但并非良运，精神苦闷，属于劳苦中得财。
土木金,凶,三才皆破，境遇多变，常有移动，苦心徒劳，部下反逆，遭受迫害，不能平安，凶运频来，不知所止，少有成功之希望，有被武器杀伤或被器械外伤而短寿丧生之兆。,一行命运变化无穷，很难有稳定生活，幸亏能忍耐努力，往外发展，离开家乡会有成功的机会，应注意不可误入歧途。慎防外伤或杀伤之情事。,虽有才华与毅力，惟恐遭到困难而心灰意冷，影响未来成就，以又缺乏服从心，如从事人际关系单纯的事业，比较容易成功，早运较为劳苦，中年后可逐渐发展。,意志不够坚定，努力中带有固执之性，处事容易冲动，有时欠考虑，会小题大作破坏美好的气氛。,如靠劳力得财的生意或薪水阶级较为适合，千万不可从事投机性的行业，以免劳命伤财。,家境不安，常有争吵之情事，子女亦不听管教。,男娶好胜之妻，婚后不甚圆满，女嫁温良固执之夫，婚后不和睦。,子女个性顽强，会与父母顶嘴，长大后成就还不错，其中恐有身体较差之人。,性格较直率，交际能力平凡，对长上或上司有不服心，造成情绪上的不稳定。,精神疲劳，内心苦闷，事事难如愿，为家庭劳苦不安。,劳苦之财可得，应多节俭为要。天运五行属水时，可达小康至中富程度。,易患神经衰弱、胃肠、肝脏、筋骨酸痛等。,老境稍转佳境，但精神仍不安定，无法得到天伦之乐，仍处于辛勤度日中。
土木水,凶,虽有一时之成功顺利，但外见吉祥，内实不然，难于伸张发展，有许多苦恼，且易流转破乱，或因凶变而破产或遭难之虑。,凭藉著志气和努力，应该可以成就，但因青少年运不佳，必须经过许多的困苦和考验之后才有成功的机会，防意外灾厄或损失。,有计划和领导的才华，喜欢帮助他人，而为人多劳，创业过程容易碰到困难，但会受到晚辈朋友的支持帮忙而得到成功。,意志坚定，注重实际与工作，且思想正确，可以一展抱负，创出一番属于自己的事业。,如为薪水阶级或从事较稳定性收入的行业最适合，投机性生意恐怕会劳命伤财。,为家庭多劳苦，家内亦不甚美满。女命者家庭不和睦。,男娶庸碌寡和之妻，婚后气氛不融洽。女嫁懦弱固执之夫，婚后喜掌理家中事务。,孩子较多，个性比较孤独，身体状况亦稍差，与父母感情不很融洽。,为人正直喜欢助人，给人好印象，可向外发展，必能在社会上有所作为。,表面虽乐观，内心多苦闷，知足就可减忧，理想太高则陷入不平不满，精神过劳。,财运尚佳，但要注意意外拖累或损失，天运五行属水时，中年后陷入失败的命运。,易患肝胆、胃肠、神经衰弱等症。,老景步入佳境，但内心却孤独不安，物质生活尚称如意。
土火木,吉,三才甚佳胜，境遇安固，能得下属之助力，易成功发展，地位及财产安全，事事如意，名成利就，幸福长寿之兆。,为人聪明急智又活泼，具有领导才能，是很好的企业人才，或担任主管工作都很适合，只要不太性急，事事都可顺利成功发展。天运五行属水，一生难发展，晚景较佳。,心情乐观而豪爽，喜欢积极交往，培养人际关系，不耐独处生活，性急为其缺点。如为女子则具有才华和魅力，颇有男子之风，温柔大方，喜好打扮。,意志坚定，乐观奋斗，且思想正确，可以一展抱负，名利双收之发展吉运。,只要不操之过急，事业会有很大的发展，且遇困难时也有贵人相助。,家庭生活甜蜜和谐，子女亦孝顺，是幸福的家庭。,男娶贤淑大方之妻，婚后家庭美满，女嫁温厚才干之夫，婚后相敬如宾。,女孩较多，都很聪明又孝顺，甚得父母欢心，长大后在社会上必能有所发展。,人缘社交都很好，善于解决别人困难，受人敬爱，唯性急，容易引起误会，有桃花运。,事事皆如意，精神很愉快，身心健康。,财运佳，应多做些社会公益的工作，积阴德可荫旺子孙。,大致健康安详，防血压过高及脑疾、头痛等症。,晚景老当益壮，事事如意，安然无忧。
土火火,平,一鼓作气，勇猛奋斗，运势浩盛，容易成功达到目的，功名成就，若原命喜火之人，妙能以此之名更加两倍以上之辉煌成就，然若凶数则欠人助，以自力奋斗，也易招孤苦失意，令人可惜。,待人热心又积极，性急缺乏持久的恒心，为人诚实直率，乐于解决别人的困难，容易忘记别人的过错。女子具有才华和魅力，能适应各种工作场合。,虽有良好的配置，但做事冲动而积极，成功失败常在一瞬间，凡事多加思考计划，培养耐力，可立于不败之地。天运五行属火时，晚年陷入失败多灾之命运。,意志坚定，不被世俗所迷惑，思想亦相当正确，能克服困难得到成功。,是白手成家的人才，凡事不必太勉强，顺其自然发展，不定可创出一番事业。,恐有为应酬多或桃花运之事，夫妻发生意见冲突，自己应有所节制。,男娶贤淑之妻，婚后感情多少有些不美满，女嫁忠厚才华之夫，婚后感情和睦。,女孩聪明活泼但顽皮，长大后在社会上可发展成功，或接管家业。,您的人缘及社交都很成功，运用礼貌待人接物得良评，能得到很好的赞誉与支持。,表面乐观愉快，但内心急躁，有人为因素造成的不安。,只要辛勤奋斗，财运会很好。,大致长寿，宜提防高血压、脑溢血、心脏病等。,晚景虽然有财运，但内心不安定，精神多烦闷。
